"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.702228625E0,7.694000244E-2,8.078700256E-1,9.676627350E0
3.712201625E0,9.774673462E-2,8.560697937E-1,9.750124512E0
3.722174625E0,1.308279419E-1,8.849597168E-1,9.803264008E0
3.732147625E0,9.864486694E-2,8.867559814E-1,9.788145447E0
3.742120625E0,1.407073975E-1,8.752299500E-1,9.728569336E0
3.752093625E0,1.219963074E-1,8.547225952E-1,9.694290619E0
3.762066625E0,9.116043091E-2,8.590635681E-1,9.720785522E0
3.772039625E0,7.409591675E-2,8.515791321E-1,9.718540192E0
3.782012625E0,7.619155884E-2,8.352630615E-1,9.690099335E0
3.791985625E0,1.002914429E-2,8.140072632E-1,9.720935211E0
3.801958625E0,-1.496887207E-3,7.921527100E-1,9.758507080E0
3.811931625E0,2.290237427E-2,7.991880798E-1,9.749376068E0
3.821904625E0,5.209167480E-2,8.301736450E-1,9.723330231E0
3.831877625E0,9.190887451E-2,8.897497559E-1,9.726473694E0
3.841850625E0,8.562194824E-2,8.975335693E-1,9.761650543E0
3.851824625E0,1.312770081E-1,9.015751648E-1,9.743538208E0
3.861797625E0,8.666976929E-2,9.078620911E-1,9.725874939E0
3.871770625E0,4.430786133E-2,8.979826355E-1,9.729018402E0
3.881743625E0,3.652404785E-2,9.029223633E-1,9.718689880E0
3.891716625E0,-1.646575928E-3,8.791218567E-1,9.733958130E0
3.901689625E0,2.544708252E-3,8.291258240E-1,9.746981049E0
3.911662625E0,1.481918335E-2,8.198451233E-1,9.721384277E0
